STT,Tuần,Ngày,Tên bài học,Mẫu ngữ pháp,Mẫu ngữ pháp (Furigana),Cấu trúc,Ý nghĩa,Giải thích & Hướng dẫn,Ví dụ minh họa,Ví dụ (Furigana),URL bài học
1,Tuần 1,Ngày 1,第1週 (1) – 僕にもやらせて,～ 書 かれている,～ 書(か) かれている,Vれる（ 受身 ）,"Bị, được (Bị động)",Dùng tường thuật lại một sự việc mà được thực hiện bởi một chủ thể khác (chủ thể bị ẩn) Nói về những việc được biết đến rộng rãi. Tham khảo: Ôn tập lại cách chia Động từ ở Thể Bị Động ( 受身形 ）： Xem Ôn lại các mẫu ngữ pháp có sử dụng Thể Bị Động ( 受身形 ）： Xem,"1. この 本 には、くわしい 説明 は 書 かれていません。
   👉 Trong cuốn sách này thì hướng dẫn chi tiết không có được viết ra
2. 入学式 は、このホールで 行 われます。
   👉 Lễ nhập học được tổ chức tại hội trường này
3. これは、 世界 でいちばん 大 きいダイヤモンドだと 言 われています。
   👉 Cái này được nói là kim cương to nhất thế giới
4. 昔 は、その 考 えが 正 しいと 思 われていた。
   👉 Ngày xưa suy nghĩ đó được xem là đúng đắn","1. この 本(ほん) には、くわしい 説明(せつめい) は 書(か) かれていません。
   👉 Trong cuốn sách này thì hướng dẫn chi tiết không có được viết ra
2. 入学式(にゅうがくしき) は、このホールで 行(おこな) われます。
   👉 Lễ nhập học được tổ chức tại hội trường này
3. これは、 世界(せかい) でいちばん 大(おお) きいダイヤモンドだと 言(い) われています。
   👉 Cái này được nói là kim cương to nhất thế giới
4. 昔(むかし) は、その 考(かんが) えが 正(ただ) しいと 思(おも) われていた。
   👉 Ngày xưa suy nghĩ đó được xem là đúng đắn",https://www.vnjpclub.com/somatome-n3-ngu-phap/tuan-1.html
2,Tuần 1,Ngày 1,第1週 (1) – 僕にもやらせて,～ 赤 ちゃんに泣かれた,～ 赤(あか) ちゃんに泣かれた,（Nに）Vれる,Bị (cái gì đó/ai đó),"Vれてしまった: Bị…mất rồi (ý tiếc nuối, khổ sở) Thường dùng nói đến những tình huống gặp khó khăn, khổ sở do bởi một yếu tố nào đó. Tham khảo: Ôn tập lại cách chia Động từ ở Thể Bị Động ( 受身形 ）： Xem","1. 友 だちの 赤 ちゃんを 抱 っこしたら、 泣 かれてしまった。
   👉 Khi bế con của bạn thì đã bị nó khóc ré lên
2. 雨 に 降 られて、 服 がぬれてしまった。
   👉 Bị mắc mưa rơi quần áo ướt mất rồi.
3. 父 に 死 なれて、 大学 を 続 けられなくなりました。
   👉 Bố mất nên đã không thể tiếp tục đại học","1. 友(とも) だちの 赤(あか) ちゃんを 抱(だ) っこしたら、 泣(な) かれてしまった。
   👉 Khi bế con của bạn thì đã bị nó khóc ré lên
2. 雨(あめ) に 降(ふ) られて、 服(ふく) がぬれてしまった。
   👉 Bị mắc mưa rơi quần áo ướt mất rồi.
3. 父(ちち) に 死(し) なれて、 大学(だいがく) を 続(つづ) けられなくなりました。
   👉 Bố mất nên đã không thể tiếp tục đại học",https://www.vnjpclub.com/somatome-n3-ngu-phap/tuan-1.html
3,Tuần 1,Ngày 1,第1週 (1) – 僕にもやらせて,～ 早 く 帰 らせてください,～ 早(はや) く 帰(かえ) らせてください,V（させて） ください もらえますか もらえませんか,Có thể cho phép tôi ~ được không?,Dùng để xin phép đối phương cho mình làm một việc gì đó. Cùng có ý như nhau nhưng mức độ lịch sự sẽ khác nhau. Cụ thể: Vさせて ください ＜ Vさせて もらえます ＜ Vさせて もらえませんか。 Tham khảo: Ôn tập lại cách chia Động từ ở Thể Sai Khiến ( 使役 形 ）： Xem,"1. ちょっと 気 分 が 悪 いので、 早 く 帰 らせてください。
   👉 Vì không khỏe lắm nên xin phép cho tôi về sớm nhé.
2. あなたの 会社 のお 話 を 聞 かせてください。
   👉 Xin hãy kể cho tôi nghe chuyện của công ty bạn.
3. 手 を 洗 わせてください。
   👉 Xin hãy cho phép cho tôi rửa tay","1. ちょっと 気(き) 分(ぶ) が 悪(わる) いので、 早(はや) く 帰(かえ) らせてください。
   👉 Vì không khỏe lắm nên xin phép cho tôi về sớm nhé.
2. あなたの 会社(かいしゃ) のお 話(はなし) を 聞(き) かせてください。
   👉 Xin hãy kể cho tôi nghe chuyện của công ty bạn.
3. 手(て) を 洗(あら) わせてください。
   👉 Xin hãy cho phép cho tôi rửa tay",https://www.vnjpclub.com/somatome-n3-ngu-phap/tuan-1.html
4,Tuần 1,Ngày 2,第1週 (2) – そこに置いといて,～もう 寝 ないと,～もう 寝(ね) ないと,Vないと／Vなくちゃ,"Phải, bắt buộc (làm gì…) / Nếu không làm gì đó thì…","Dùng để nói đến những hành động bản thân nhận thức là phải làm, bắt buộc làm, không làm không được (cách nói cảm thán rút gọn của なければなりません)","1. 明日 は 早 く 出 かけるから、もう 寝 ないと。
   👉 Ngày mai vì đi ra ngoài sớm nên không ngủ sớm là không được rồi. (Phải ngủ).
2. 試験 まであと1 ヶ月 だ。がんばって 勉強 しないと。
   👉 Còn một tháng nửa là đến kỳ thi. Không cố gắng học là không xong đâu.
3. 田中 さんにメールの 返信 をしなくちゃ。
   👉 Phải trả lời mail cho Tanaka.","1. 明日(あした) は 早(はや) く 出(で) かけるから、もう 寝(ね) ないと。
   👉 Ngày mai vì đi ra ngoài sớm nên không ngủ sớm là không được rồi. (Phải ngủ).
2. 試験(しけん) まであと1 ヶ月(かげつ) だ。がんばって 勉強(べんきょう) しないと。
   👉 Còn một tháng nửa là đến kỳ thi. Không cố gắng học là không xong đâu.
3. 田中(たなか) さんにメールの 返信(へんしん) をしなくちゃ。
   👉 Phải trả lời mail cho Tanaka.",https://www.vnjpclub.com/somatome-n3-ngu-phap/tuan-1-2.html
5,Tuần 1,Ngày 2,第1週 (2) – そこに置いといて,～ 食 べちゃった,～ 食(た) べちゃった,V てしまう + ちゃう V でしまう + じゃう,Làm gì đó mất rồi.,"Đây là cách nói ngắn gọn của Vてしまう. Vてしまう có 3 ý nghĩa: Đã hoàn thành xong một viêc gì đó. Đang làm lỡ dở một việc gì đó. Lỡ, tiếc nuối về sự việc đã xảy ra Tham khảo các mẫu ngữ pháp có sử dụng Vてしまう: Xem","1. 「あれ？ここにあったチョコレートは？」
   👉 Ủa? Socola mới ở đây đâu rồi?
2. 「あ、 食 べちゃった。いけなかった？」
   👉 A, ăn mất rồi. Không được hả?
3. 試験 が 終 わった！ 今日 は 飲 んじゃおう！
   👉 Kỳ thi kết thúc rồi! Hôm nay hãy đi uống thôi.
4. もしもし、すみません。 車 が 混 んじゃって・・・すこし 遅 れます。
   👉 Alo, xin lỗi. Xe đông quá nên tôi hơi trễ một chút","1. 「あれ？ここにあったチョコレートは？」
   👉 Ủa? Socola mới ở đây đâu rồi?
2. 「あ、 食(た) べちゃった。いけなかった？」
   👉 A, ăn mất rồi. Không được hả?
3. 試験(しけん) が 終(お) わった！ 今日(きょう) は 飲(の) んじゃおう！
   👉 Kỳ thi kết thúc rồi! Hôm nay hãy đi uống thôi.
4. もしもし、すみません。 車(くるま) が 混(こ) んじゃって・・・すこし 遅(おく) れます。
   👉 Alo, xin lỗi. Xe đông quá nên tôi hơi trễ một chút",https://www.vnjpclub.com/somatome-n3-ngu-phap/tuan-1-2.html
6,Tuần 1,Ngày 2,第1週 (2) – そこに置いといて,～ 書 いとく,～ 書(か) いとく,Vておく + とく Vでおく + どく V ておかない + Vとかない,"Làm sẵn, làm trước việc gì",Đây là cách nói ngắn gọn của Vておく. Vておく có 3 ý nghĩa: Chuẩn bị sẵn trước một việc gì đó. Xử lý công viêc. Giữ nguyên hiện trạng. Tham khảo các mẫu ngữ pháp có sử dụng Vておく: Xem,"1. テストで 間違 ったところを、ノートに 書 いとこう。
   👉 Viết lại vào vở những chỗ sai trong bài kiểm tra
2. これ 洗濯 しといて。
   👉 Giặt sẵn cái này đi.
3. トイレットペーパーがもうすぐなくなるから、 買 っとかないと。
   👉 Vì giấy toilet gần hết rồi nên phải mua dành sẵn thôi","1. テストで 間違(まちが) ったところを、ノートに 書(か) いとこう。
   👉 Viết lại vào vở những chỗ sai trong bài kiểm tra
2. これ 洗濯(せんたく) しといて。
   👉 Giặt sẵn cái này đi.
3. トイレットペーパーがもうすぐなくなるから、 買(か) っとかないと。
   👉 Vì giấy toilet gần hết rồi nên phải mua dành sẵn thôi",https://www.vnjpclub.com/somatome-n3-ngu-phap/tuan-1-2.html
7,Tuần 1,Ngày 3,第1週 (3) – 女らしい,～ 女 みたいだ,～ 女(おんな) みたいだ,N だ ／V（ 普通 形 ）／A + みたいだ／みたいに V（ 普通 形 ）／A + みたいな + N,"Giống như, trông có vẻ","Dùng trong văn nói để miêu tả về người, sự vật mang vẻ, dáng dấp gì đó mà đối phương so sánh được","1. 彼 の 話 し 方 は、 女 みたいだ。
   👉 Cách nói chuyện của anh ấy giống như con gái
2. ここの 砂 は 星 みたいな 形 をしている。
   👉 Tôi đang làm cát ở đây thành hình giống ngôi sao.
3. このアパートはだれも 住 んでいないみたいだ。
   👉 Căn hộ này giống như không có ai ở cả
4. 明日 は 雨 みたいね。
   👉 Ngày mai có vẻ sẽ mưa
5. リンさんみたいに 日本語 がうまくなりたい。
   👉 Tôi muốn mình có thể giỏi tiếng Nhật như Lin","1. 彼(かれ) の 話(はな) し 方(かた) は、 女(おんな) みたいだ。
   👉 Cách nói chuyện của anh ấy giống như con gái
2. ここの 砂(すな) は 星(ほし) みたいな 形(かたち) をしている。
   👉 Tôi đang làm cát ở đây thành hình giống ngôi sao.
3. このアパートはだれも 住(す) んでいないみたいだ。
   👉 Căn hộ này giống như không có ai ở cả
4. 明日(あした) は 雨(あめ) みたいね。
   👉 Ngày mai có vẻ sẽ mưa
5. リンさんみたいに 日本語(にほんご) がうまくなりたい。
   👉 Tôi muốn mình có thể giỏi tiếng Nhật như Lin",https://www.vnjpclub.com/somatome-n3-ngu-phap/tuan-1-3.html
8,Tuần 1,Ngày 3,第1週 (3) – 女らしい,～ 春 らしい,～ 春(はる) らしい,Nらしい,"Có vẻ (nam tính, nữ tính, trẻ con….)",Dùng trong văn nói. Dùng khi muốn miêu tả đặc tính mà mình cảm nhận được từ sự vật sự việc,"1. 今日 は、 春 らしい 暖 かい 日 でした。
   👉 Hôm nay là ngày ấm áp có vẻ mùa xuân
2. 私 は 女性 らしい 洋服 はあまり 着 ない。
   👉 Tôi không hay mặc những bộ đồ có vẻ nữ tính","1. 今日(きょう) は、 春(はる) らしい 暖(あたた) かい 日(ひ) でした。
   👉 Hôm nay là ngày ấm áp có vẻ mùa xuân
2. 私(わたし) は 女性(じょせい) らしい 洋服(ようふく) はあまり 着(き) ない。
   👉 Tôi không hay mặc những bộ đồ có vẻ nữ tính",https://www.vnjpclub.com/somatome-n3-ngu-phap/tuan-1-3.html
9,Tuần 1,Ngày 3,第1週 (3) – 女らしい,～ 大人 っぽい,～ 大人(おとな) っぽい,Nっぽい,"Tràn, đầy, đậm chất","Thường dùng trong văn nói. Dùng để nói đến sự vật, sự việc, con người với đặc điểm thấm đẫm một tính chất nào đó.","1. あの 小学生 は、 大人 っぽい。
   👉 Học sinh tiểu học kia người lớn quá
2. この 料理 は 油 っぽくていやだ。
   👉 Món ăn này đầy dầu nên tôi không thích","1. あの 小学生(しょうがくせい) は、 大人(おとな) っぽい。
   👉 Học sinh tiểu học kia người lớn quá
2. この 料理(りょうり) は 油(あぶら) っぽくていやだ。
   👉 Món ăn này đầy dầu nên tôi không thích",https://www.vnjpclub.com/somatome-n3-ngu-phap/tuan-1-3.html
10,Tuần 1,Ngày 4,第1週 (4) – できるようになった,～ 忘 れ 物 をしないようにしましょう,～ 忘(わす) れ 物(もの) をしないようにしましょう,Vる／Vない + ようにする,"Cố gắng làm gì, thường xuyên làm gì","Dùng để nói sự nỗ lực, dự định hoặc thói quen thực hiện hành động nào đó","1. 忘 れ 物 をしないようにしましょう。
   👉 Hãy cố gắng đừng để quên đồ
2. 毎食後 、 歯 をみがくようにしています。
   👉 Mỗi ngày sau bữa ăn thì đánh răng","1. 忘(わす) れ 物(もの) をしないようにしましょう。
   👉 Hãy cố gắng đừng để quên đồ
2. 毎食後(まいしょくご) 、 歯(は) をみがくようにしています。
   👉 Mỗi ngày sau bữa ăn thì đánh răng",https://www.vnjpclub.com/somatome-n3-ngu-phap/tuan-1-4.html
